"topic","label","docid","text","probability"
1,"topic1","1004","police confused over police chase lingo coroner",0.102927350494905
6,"topic6","1074","us open course hole by hole",0.101424476272776
4,"topic4","2222","from royal performance to royal resort for title",0.102402822200841
6,"topic6","2736","nsw govt considers local govt reform options",0.102171367530576
9,"topic9","2864","consumers warned to be wary after door to door",0.102895354849483
1,"topic1","3239","world cup eyes disney world",0.101082959010255
4,"topic4","3282","call to axe unwanted fruit trees in fruit fly fight",0.10601780038102
9,"topic9","3525","canberra print handicap radio for wagga wagga",0.10678854450715
6,"topic6","3755","iraq had no nuke programme iraq scientist",0.105870030237879
6,"topic6","4183","bulldogs must walk the walk price",0.102834422236688
3,"topic3","4708","fire crews continue to patrol fire perimeter",0.101827675697637
9,"topic9","490","call for wagga wagga to keep tafe hq",0.103298788191488
6,"topic6","6369","push for regions to become fly in fly out hubs",0.10351040217789
7,"topic7","7263","health minister admits health hotline costly",0.102670769333415
8,"topic8","7716","gan gan site owner named",0.105222685804536
7,"topic7","8318","green light for toowoomba red light cameras",0.102897907048118
10,"topic10","8696","barrichello winning brazil would be like winning",0.102067729851454
8,"topic8","9025","lachlan council rejects super council plan",0.102612005829855
5,"topic5","1","amp shares surge",0.100701246170403
5,"topic5","10","for many us vets war is not the answer",0.107060518128324
9,"topic9","100","syringe hold up thief jailed",0.105566070370711
4,"topic4","1000","howard plays down prospect of capital punishment",0.103610990358881
3,"topic3","10000","driver jailed after running down policeman",0.101546623666248
10,"topic10","1001","qld tops palliative care rates",0.101805493825103
6,"topic6","1002","wa landcare reaches turning point",0.101476432987894
7,"topic7","1003","quarry garden plans nearly ready",0.103238305136385
7,"topic7","1005","drought still has tight grip on nsw",0.102538730014841
1,"topic1","1006","politicians upbeat about budget benefits",0.103336084098748
3,"topic3","1007","concerns aired over tafe courses expense",0.102114611655018
8,"topic8","1008","mystery matilda in positive dope test",0.102658223389294
9,"topic9","1009","eagles consider crazy deal",0.101097591645195
9,"topic9","101","lifeguards issue beach safety warning",0.104482609594377
